index geno pheno fit children
12320743 2 2.72943 1.14286 1
12320744 0 0.769219 1.03548 1
12320745 0 -2.50425 0.884075 3
12320746 0 0.168433 1.00877 0
12320747 0 0.752774 1.05905 2
12320748 2 3.13345 1.16932 1
12320749 1 1.64089 1.06923 2
12320750 0 -0.403384 0.971254 2
12320751 1 -1.27945 0.94251 1
12320752 2 3.8631 1.17531 3
12320753 1 0.711684 1.02915 1
12320754 2 2.58435 1.13818 1
12320755 1 -0.44521 0.976443 2
12320756 1 0.422215 1.0145 3
12320757 0 0.654215 1.03745 3
12320758 1 -0.349266 0.988596 2
12320759 1 0.369967 1.01961 2
12320760 1 0.690233 1.01477 2
12320761 1 1.41655 1.07755 0
12320762 1 1.65216 1.08632 6
