index geno pheno fit
 785 0 -0.982542 0.949884 
 786 1 0.371102 1.01837 
 787 1 1.99965 1.12813 
 788 0 0.578448 1.02628 
 789 1 1.44588 1.07405 
 790 1 0.792622 1.04011 
 791 1 1.9638 1.09511 
 792 1 -0.00597631 0.999677 
 793 1 0.986692 1.05886 
 794 1 2.47244 1.12021 
 795 1 1.92909 1.11064 
 796 0 -0.503883 0.968474 
 797 0 -1.08097 0.927503 
 798 1 -0.652657 0.963574 
 799 0 -1.31223 0.946375 
 800 1 0.325991 1.02063 
 801 0 0.375519 1.02201 
 802 1 -0.81687 0.96022 
 803 0 -1.1216 0.943672 
 804 1 0.805203 1.04022 
 805 0 1.39577 1.07013 
 806 1 0.431304 1.01595 
 807 0 0.67073 1.03899 
 808 1 1.41069 1.07331 
 809 0 0.0541873 1.00231 
 810 1 1.20495 1.06673 
 811 0 0.147175 1.00776 
 812 1 0.164987 1.00697 
 813 0 -0.182369 0.990654 
 814 1 1.91727 1.10546 
 815 0 0.943361 1.05149 
 816 1 0.703302 1.03814 
 817 1 -0.0687717 0.997233 
 818 0 -0.436693 0.981547 
 819 1 -0.866747 0.953516 
 820 1 2.30668 1.09258 
 821 0 -0.237836 0.987506 
 822 0 -1.62815 0.935367 
 823 1 0.71167 1.03274 
 824 0 -0.662704 0.95564 
 825 1 0.594344 1.03419 
 826 0 0.719126 1.03972 
 827 0 -0.802395 0.972161 
 828 0 0.908285 1.04011 
 829 0 2.69293 1.13999 
 830 1 0.867772 1.04713 
 831 1 0.679622 1.0412 
 832 0 -0.294486 0.983869 
 833 0 0.468902 1.0235 
 834 1 1.67348 1.06335 
 835 0 0.303793 1.01465 
 836 1 2.40827 1.09032 
 837 0 1.20505 1.05009 
 838 0 0.371415 1.01615 
 839 0 -0.126335 0.993045 
 840 0 0.33801 1.01578 
 841 1 0.577547 1.02617 
 842 0 0.382909 1.02094 
 843 1 -0.140552 0.994003 
 844 1 1.50453 1.10296 
 845 1 1.59896 1.0613 
 846 0 0.280704 1.01044 
 847 1 1.89492 1.08022 
 848 1 1.21511 1.04547 
